final_rank,rank,player_display_name,position,season,expected_season_points,age_years,wnt_bucket,retention_multiplier,exit_rate,age_cliff_factor,dynasty_utility,dynasty_utility_vbd,match_key,consensus_player_name,consensus_position,consensus_team,consensus_age,sleeper_id,consensus_value,consensus_overall_rank,consensus_position_rank,consensus_trend_30day,consensus_position_percentile,_merge,model_rank,consensus_rank_for_corr,model_rank_matched,consensus_rank_matched,rank_divergence,rank_divergence_pct,model_utility_percentile,consensus_percentile_matched,seasons_seen,alpha,blended_percentile_within,final_dynasty_value
11,48.0,Brock Bowers,TE,2025.0,247.94123680033462,23.017111567419576,Med,0.7842767295597485,0.145,1.0,166.2586336842546,57.91109202879339,brock bowers|TE,Brock Bowers,TE,LV,23.7,11604,6859.0,9.0,1.0,-114.0,100.0,both,48.0,9.0,48.0,8.0,-40.0,17.3,97.2972972972973,100.0,2.0,0.6,98.37837837837839,6281.054054054058
12,32.0,James Cook,RB,2025.0,292.7220646515325,26.310746064339494,Med,0.751394357731904,0.159,1.0,184.9777042285107,74.36535682130037,james cook|RB,James Cook,RB,BUF,26.9,8138,5416.0,18.0,8.0,-16.0,93.26923076923077,both,32.0,18.0,32.0,17.0,-15.0,6.5,91.37931034482759,89.65517241379311,4.0,0.75,90.94827586206898,5695.051724137936
13,24.0,George Pickens,WR,2025.0,278.0643173,24.83230663928816,Med,0.8383157894736843,0.172,1.0,193.0115259605392,73.33576337221237,george pickens|WR,George Pickens,WR,DAL,25.5,8137,4814.0,21.0,10.0,273.0,94.23076923076923,both,24.0,21.0,24.0,20.0,-4.0,1.7,92.70833333333334,90.625,4.0,0.75,92.1875,5337.90625
14,4.0,Drake Maye,QB,2025.0,341.10946445319615,23.419575633127995,Med,0.8236205057440866,0.147,1.0,239.64587143186165,47.07442016418108,drake maye|QB,Drake Maye,QB,NE,24.0,11564,4532.0,25.0,2.0,-55.0,98.57142857142858,both,4.0,25.0,4.0,24.0,20.0,8.7,100.0,97.5,2.0,0.6,99.0,5055.99
15,35.0,Chase Brown,RB,2025.0,282.5023535835562,25.78507871321013,Med,0.751394357731904,0.159,1.0,178.51963727860934,67.907289871399,chase brown|RB,Chase Brown,RB,CIN,26.4,9224,4523.0,26.0,11.0,244.0,90.38461538461539,both,35.0,26.0,35.0,25.0,-10.0,4.3,89.65517241379311,84.48275862068965,3.0,0.75,88.36206896551724,4987.038793103447
16,27.0,Drake London,WR,2025.0,276.5740936261584,24.4435318275154,Med,0.8383157894736843,0.172,1.0,191.97712374703846,72.30136115871164,drake london|WR,Drake London,WR,ATL,25.1,8112,5710.0,17.0,8.0,-91.0,95.51282051282051,both,27.0,17.0,27.0,16.0,-11.0,4.8,90.625,92.70833333333334,4.0,0.75,91.14583333333334,4822.239583333334
17,26.0,Chris Olave,WR,2025.0,277.3435951130497,25.49760438056126,Med,0.8383157894736843,0.172,1.0,192.51125433112756,72.83549174280074,chris olave|WR,Chris Olave,WR,NO,26.2,8144,4084.0,32.0,14.0,240.0,91.66666666666666,both,26.0,32.0,26.0,30.0,4.0,1.7,91.66666666666666,87.5,4.0,0.75,90.625,4815.3125
18,21.0,Rashee Rice,WR,2025.0,293.4227795808958,25.639972621492127,Med,0.8383157894736843,0.172,1.0,203.67222586632704,83.99646327800022,rashee rice|WR,Rashee Rice,WR,KC,26.3,10229,3382.0,51.0,23.0,-73.0,85.8974358974359,both,21.0,51.0,21.0,47.0,26.0,11.3,93.75,79.16666666666666,3.0,0.75,90.10416666666666,4680.052083333327
19,59.0,Tucker Kraft,TE,2025.0,231.30371916249024,24.99110198494182,Med,0.7842767295597485,0.145,1.0,155.10223636179853,46.75469470633733,tucker kraft|TE,Tucker Kraft,TE,GB,25.8,9484,3011.0,61.0,5.0,-39.0,94.20289855072464,both,59.0,61.0,59.0,56.0,-3.0,1.3,94.5945945945946,89.1891891891892,3.0,0.75,93.24324324324326,4601.7567567567585
20,36.0,CeeDee Lamb,WR,2025.0,256.00142254487815,26.7378507871321,Med,0.8383157894736843,0.172,1.0,177.69710868779532,58.0213460994685,ceedee lamb|WR,CeeDee Lamb,WR,DAL,27.4,6786,6419.0,12.0,7.0,179.0,96.15384615384616,both,36.0,12.0,36.0,11.0,-25.0,10.8,88.54166666666666,93.75,6.0,0.75,89.84375,4597.421875
21,67.0,Ashton Jeanty,RB,2025.0,236.6802474406049,22.086242299794662,Med,0.751394357731904,0.159,1.0,149.56361031382107,38.95126290661074,ashton jeanty|RB,Ashton Jeanty,RB,LV,22.7,12527,7788.0,6.0,3.0,98.0,98.07692307692307,both,67.0,6.0,67.0,6.0,-61.0,26.4,70.6896551724138,96.55172413793103,1.0,0.45,84.91379310344828,4565.491379310345
22,41.0,Kyren Williams,RB,2025.0,273.69533017541033,25.409993155373034,Med,0.751394357731904,0.159,1.0,172.9542796651854,62.34193225797506,kyren williams|RB,Kyren Williams,RB,LAR,26.0,8150,3617.0,45.0,15.0,46.0,86.53846153846155,both,41.0,45.0,41.0,42.0,1.0,0.4,86.20689655172413,77.58620689655173,4.0,0.75,84.05172413793103,4492.224137931033
23,29.0,Cam Skattebo,RB,2025.0,257.4624841009167,23.71526351813826,Low,0.882062534284147,0.159,1.0,190.9894274268922,80.37708001968187,cam skattebo|RB,Cam Skattebo,RB,NYG,24.5,12481,3586.0,46.0,16.0,77.0,85.57692307692307,both,29.0,46.0,29.0,43.0,14.0,6.1,93.10344827586206,75.86206896551724,1.0,0.45,83.62068965517241,4408.689655172412
24,33.0,Zay Flowers,WR,2025.0,265.60866713364703,25.308692676249144,Med,0.8383157894736843,0.172,1.0,184.3657418887746,64.68997930044779,zay flowers|WR,Zay Flowers,WR,BAL,25.9,9997,3817.0,37.0,16.0,282.0,90.38461538461539,both,33.0,37.0,33.0,35.0,2.0,0.9,89.58333333333334,85.41666666666666,3.0,0.75,88.54166666666666,4146.19791666666
25,44.0,Nico Collins,WR,2025.0,242.98845891177626,26.811772758384667,Med,0.8383157894736843,0.172,1.0,168.66447914193307,48.98871655360625,nico collins|WR,Nico Collins,WR,HOU,27.4,7569,4103.0,31.0,13.0,-100.0,92.3076923076923,both,44.0,31.0,44.0,29.0,-15.0,6.5,86.45833333333334,88.54166666666666,5.0,0.75,86.97916666666666,4027.4218749999973
26,74.0,Omarion Hampton,RB,2025.0,227.6460637204262,22.819986310746064,Med,0.751394357731904,0.159,1.0,143.8547049529402,33.242357545729874,omarion hampton|RB,Omarion Hampton,RB,LAC,23.4,12507,6342.0,13.0,5.0,-5.0,96.15384615384616,both,74.0,13.0,74.0,12.0,-62.0,26.8,63.793103448275865,94.82758620689656,1.0,0.45,80.86206896551725,4012.179310344829
27,50.0,Javonte Williams,RB,2025.0,262.2888165601782,25.67008898015058,Med,0.751394357731904,0.159,1.0,165.74624529883636,55.13389789162602,javonte williams|RB,Javonte Williams,RB,DAL,26.3,7588,3242.0,53.0,20.0,17.0,81.73076923076923,both,50.0,53.0,50.0,49.0,-1.0,0.4,82.75862068965517,70.6896551724138,5.0,0.75,79.74137931034483,3974.7456896551726
28,42.0,A.J. Brown,WR,2025.0,248.93385300457425,28.528405201916495,Med,0.8383157894736843,0.172,1.0,172.79132863283576,53.11556604450894,aj brown|WR,A.J. Brown,WR,NE,29.1,5859,3690.0,42.0,19.0,-185.0,88.46153846153845,both,42.0,42.0,42.0,39.0,-3.0,1.3,87.5,83.33333333333334,7.0,0.75,86.45833333333334,3951.7187500000027
29,58.0,Justin Jefferson,WR,2025.0,223.66455578556474,26.548939082819988,Med,0.8383157894736843,0.172,1.0,155.2512657310237,35.575503142696874,justin jefferson|WR,Justin Jefferson,WR,MIN,27.2,6794,6823.0,10.0,5.0,-275.0,97.43589743589743,both,58.0,10.0,58.0,9.0,-49.0,21.2,82.29166666666666,95.83333333333334,6.0,0.75,85.67708333333333,3861.828124999999
30,9.0,Josh Allen,QB,2025.0,381.50393548455077,29.65639972621492,High,0.7911889792899409,0.25,1.0,226.38128198333789,33.80983071565731,josh allen|QB,Josh Allen,QB,BUF,30.3,4984,5391.0,19.0,1.0,29.0,100.0,both,9.0,19.0,9.0,18.0,9.0,3.9,92.5,100.0,8.0,0.75,94.375,3831.30625
31,68.0,Tetairoa McMillan,WR,2025.0,214.99543383699688,22.765229295003422,Med,0.8383157894736843,0.172,1.0,149.23380735204785,29.55804476372103,tetairoa mcmillan|WR,Tetairoa McMillan,WR,CAR,23.4,12526,4828.0,20.0,9.0,-160.0,94.87179487179486,both,68.0,20.0,68.0,19.0,-49.0,21.2,77.08333333333334,91.66666666666666,1.0,0.45,85.10416666666667,3815.640625
32,51.0,Garrett Wilson,WR,2025.0,238.28660041717566,25.295003422313485,Med,0.8383157894736843,0.172,1.0,165.4007993871723,45.72503679884548,garrett wilson|WR,Garrett Wilson,WR,NYJ,26.1,8146,3931.0,35.0,15.0,-132.0,91.02564102564102,both,51.0,35.0,51.0,33.0,-18.0,7.8,84.375,86.45833333333334,4.0,0.75,84.89583333333334,3813.859375
33,12.0,Caleb Williams,QB,2025.0,318.9415021059135,24.161533196440793,Med,0.8236205057440866,0.147,1.0,224.0718073609652,31.500356093284637,caleb williams|QB,Caleb Williams,QB,CHI,24.8,11560,3766.0,40.0,4.0,-77.0,95.71428571428572,both,12.0,40.0,12.0,37.0,25.0,10.8,90.0,92.5,2.0,0.6,91.0,3743.56
34,7.0,Trevor Lawrence,QB,2025.0,323.0658504260316,26.261464750171115,Med,0.8236205057440866,0.147,1.0,226.96936122640142,34.397909958720845,trevor lawrence|QB,Trevor Lawrence,QB,JAX,26.9,7523,2635.0,71.0,10.0,-25.0,87.14285714285714,both,7.0,71.0,7.0,66.0,59.0,25.5,95.0,77.5,5.0,0.75,90.625,3737.125
35,61.0,Saquon Barkley,RB,2025.0,243.97353750415212,28.914442162902123,Med,0.751394357731904,0.159,1.0,154.1724055333874,43.56005812617707,saquon barkley|RB,Saquon Barkley,RB,PHI,29.5,4866,4183.0,30.0,12.0,115.0,89.42307692307693,both,61.0,30.0,61.0,28.0,-33.0,14.3,75.86206896551724,82.75862068965517,8.0,0.75,77.58620689655172,3693.431034482757
36,6.0,Bo Nix,QB,2025.0,324.27948473696733,25.89185489390828,Med,0.8236205057440866,0.147,1.0,227.8219979379334,35.25054667025282,bo nix|QB,Bo Nix,QB,DEN,26.5,11563,2461.0,76.0,12.0,-127.0,84.28571428571429,both,6.0,76.0,6.0,70.0,64.0,27.7,97.5,72.5,2.0,0.6,87.5,3691.375
37,54.0,Travis Etienne,RB,2025.0,253.78996364792806,26.954140999315538,Med,0.751394357731904,0.159,1.0,160.3756276033261,49.76328019611577,travis etienne|RB,Travis Etienne,RB,NO,27.6,7543,2811.0,65.0,23.0,-361.0,78.84615384615384,both,54.0,65.0,54.0,60.0,6.0,2.6,79.3103448275862,65.51724137931035,4.0,0.75,75.86206896551724,3593.4827586206898
38,56.0,Josh Jacobs,RB,2025.0,249.69183350092774,27.90965092402464,Med,0.751394357731904,0.159,1.0,157.78592632090246,47.173578913692126,josh jacobs|RB,Josh Jacobs,RB,GB,28.5,5850,2953.0,62.0,22.0,11.0,79.8076923076923,both,56.0,62.0,56.0,57.0,1.0,0.4,77.58620689655173,67.24137931034483,7.0,0.75,75.0,3575.75
39,57.0,Christian Watson,WR,2025.0,224.52901971785448,26.663928815879533,Med,0.8383157894736843,0.172,1.0,155.85131216750722,36.1755495791804,christian watson|WR,Christian Watson,WR,GB,27.3,8167,2334.0,79.0,32.0,94.0,80.12820512820514,both,57.0,79.0,57.0,72.0,15.0,6.5,83.33333333333334,71.875,4.0,0.75,80.46875,3503.5078125
40,62.0,DeVonta Smith,WR,2025.0,221.4411853244456,27.15400410677618,Med,0.8383157894736843,0.172,1.0,153.7079676565239,34.03220506819707,devonta smith|WR,DeVonta Smith,WR,PHI,27.8,7525,3544.0,48.0,21.0,254.0,87.17948717948718,both,62.0,48.0,62.0,45.0,-17.0,7.4,80.20833333333334,81.25,5.0,0.75,80.46875,3503.5078125
41,60.0,Tee Higgins,WR,2025.0,222.8069227044878,26.95687885010267,Med,0.8383157894736843,0.172,1.0,154.6559607623739,34.980198174047075,tee higgins|WR,Tee Higgins,WR,CIN,27.6,6801,3218.0,55.0,25.0,-10.0,84.61538461538461,both,60.0,55.0,60.0,51.0,-9.0,3.9,81.25,77.08333333333334,6.0,0.75,80.20833333333334,3485.447916666668
42,92.0,Emeka Egbuka,WR,2025.0,195.05457722323956,23.21971252566735,Med,0.8383157894736843,0.172,1.0,135.3923508093546,15.716588221027791,emeka egbuka|WR,Emeka Egbuka,WR,TB,23.9,12514,4480.0,27.0,11.0,-18.0,93.58974358974359,both,92.0,27.0,92.0,26.0,-66.0,28.6,68.75,89.58333333333334,1.0,0.45,80.20833333333334,3485.447916666668
43,63.0,Bucky Irving,RB,2025.0,242.74363036836255,23.37303216974675,Med,0.751394357731904,0.159,1.0,153.39519935091718,42.782851943706845,bucky irving|RB,Bucky Irving,RB,TB,24.0,11584,3217.0,56.0,21.0,-177.0,80.76923076923077,both,63.0,56.0,63.0,52.0,-11.0,4.8,74.13793103448276,68.96551724137932,2.0,0.6,72.0689655172414,3348.8931034482766
44,69.0,Breece Hall,RB,2025.0,233.0004328497198,24.57221081451061,Med,0.751394357731904,0.159,1.0,147.23825210818387,36.625904700973535,breece hall|RB,Breece Hall,RB,NYJ,25.2,8155,3995.0,33.0,13.0,-178.0,88.46153846153845,both,69.0,33.0,69.0,31.0,-38.0,16.5,68.96551724137932,81.03448275862068,4.0,0.75,71.98275862068967,3338.4267241379325
45,71.0,Kenneth Walker III,RB,2025.0,230.93047952237015,25.27857631759069,Med,0.751394357731904,0.159,1.0,145.93020170614423,35.317854298933895,kenneth walker|RB,Kenneth Walker,RB,KC,25.8,8151,4629.0,24.0,10.0,59.0,91.34615384615384,both,71.0,24.0,71.0,23.0,-48.0,20.8,67.24137931034483,86.20689655172413,4.0,0.75,71.98275862068965,3338.4267241379293
46,66.0,Jaylen Waddle,WR,2025.0,216.97163164160486,27.085557837097877,Med,0.8383157894736843,0.172,1.0,150.60553658926506,30.929774000938238,jaylen waddle|WR,Jaylen Waddle,WR,DEN,27.7,7526,3231.0,54.0,24.0,-40.0,85.25641025641025,both,66.0,54.0,66.0,50.0,-16.0,6.9,78.125,78.125,5.0,0.75,78.125,3264.03125
47,65.0,D'Andre Swift,RB,2025.0,238.81637357616646,27.006160164271048,Med,0.751394357731904,0.159,1.0,150.913476812505,40.30112940529466,dandre swift|RB,D'Andre Swift,RB,CHI,27.6,6790,2563.0,75.0,25.0,176.0,76.92307692307693,both,65.0,75.0,65.0,69.0,4.0,1.7,72.41379310344827,62.06896551724138,6.0,0.75,69.82758620689656,3237.043103448276
48,64.0,Jameson Williams,WR,2025.0,218.24341861661756,24.772073921971252,Med,0.8383157894736843,0.172,1.0,151.48831632572114,31.812553737394325,jameson williams|WR,Jameson Williams,WR,DET,25.4,8148,2743.0,68.0,29.0,-1.0,82.05128205128204,both,64.0,68.0,64.0,63.0,-1.0,0.4,79.16666666666666,73.95833333333334,4.0,0.75,77.86458333333333,3230.6276041666665
49,45.0,Jonathon Brooks,RB,2025.0,154.57262222222255,22.0,Rookie,1.1439730801586347,0.051,1.0,167.80874589541355,57.196398488203215,jonathon brooks|RB,Jonathon Brooks,RB,CAR,23.1,11583,2178.0,87.0,28.0,102.0,74.03846153846155,both,45.0,87.0,45.0,79.0,34.0,14.7,84.48275862068965,56.896551724137936,1.0,0.45,69.3103448275862,3229.6724137931033
50,101.0,Quinshon Judkins,RB,2025.0,207.8727976055487,22.140999315537304,Med,0.751394357731904,0.159,1.0,131.35953013452124,20.7471827273109,quinshon judkins|RB,Quinshon Judkins,RB,CLE,22.8,12512,3958.0,34.0,14.0,-266.0,87.5,both,101.0,34.0,101.0,32.0,-69.0,29.9,56.896551724137936,79.3103448275862,1.0,0.45,69.22413793103449,3228.4439655172414
51,47.0,Wan'Dale Robinson,WR,2025.0,240.45906668407181,24.971937029431896,Med,0.8383157894736843,0.172,1.0,166.90876356374457,47.23300097541775,wandale robinson|WR,Wan'Dale Robinson,WR,TEN,25.6,8126,1660.0,128.0,53.0,-321.0,66.66666666666666,both,47.0,128.0,47.0,115.0,68.0,29.4,85.41666666666666,53.125,4.0,0.75,77.34375,3224.1953125
52,80.0,Christian McCaffrey,RB,2025.0,406.842438613861,29.609856262833677,High,0.5434400984927044,0.355,1.0,142.605949217807,31.993601810596658,christian mccaffrey|RB,Christian McCaffrey,RB,SF,30.2,4034,4739.0,23.0,9.0,233.0,92.3076923076923,both,80.0,23.0,80.0,22.0,-58.0,25.1,62.06896551724138,87.93103448275862,9.0,0.75,68.53448275862068,3218.6163793103447
53,79.0,Kyle Pitts,TE,2025.0,212.81056052989507,25.240246406570844,Med,0.7842767295597485,0.145,1.0,142.70152671607937,34.35398506061817,kyle pitts|TE,Kyle Pitts,TE,ATL,25.9,7553,2659.0,70.0,8.0,-4.0,89.85507246376811,both,79.0,70.0,79.0,65.0,-14.0,6.1,91.8918918918919,81.08108108108108,5.0,0.75,89.18918918918921,3158.6756756756813
54,15.0,Jalen Hurts,QB,2025.0,310.2387762160326,27.42505133470226,Med,0.8236205057440866,0.147,1.0,217.9577221565094,25.386270888828818,jalen hurts|QB,Jalen Hurts,QB,PHI,28.0,6904,2796.0,66.0,9.0,-52.0,88.57142857142857,both,15.0,66.0,15.0,61.0,46.0,19.9,85.0,80.0,6.0,0.75,83.75,3043.3750000000005
55,14.0,Brock Purdy,QB,2025.0,310.83635103463587,26.05612594113621,Med,0.8236205057440866,0.147,1.0,218.3775473243026,25.80609605662204,brock purdy|QB,Brock Purdy,QB,SF,26.7,8183,2380.0,78.0,13.0,-15.0,82.85714285714286,both,14.0,78.0,14.0,71.0,57.0,24.7,87.5,70.0,4.0,0.75,83.125,2967.812500000001
56,109.0,Colston Loveland,TE,2025.0,188.29764043093883,21.77138945927447,Med,0.7842767295597485,0.145,1.0,126.26422626595001,17.916684610488815,colston loveland|TE,Colston Loveland,TE,CHI,22.4,12517,4773.0,22.0,3.0,193.0,97.10144927536231,both,109.0,22.0,109.0,21.0,-88.0,38.1,78.37837837837837,94.5945945945946,1.0,0.45,87.29729729729729,2922.762162162162
57,97.0,Tyler Warren,TE,2025.0,197.82629819634508,23.61122518822724,Med,0.7842767295597485,0.145,1.0,132.65373065564162,24.306189000180424,tyler warren|TE,Tyler Warren,TE,IND,24.2,12518,4377.0,29.0,4.0,151.0,95.65217391304348,both,97.0,29.0,97.0,27.0,-70.0,30.3,81.08108108108108,91.8918918918919,1.0,0.45,87.02702702702703,2907.778378378378
58,90.0,Harold Fannin Jr.,TE,2025.0,205.0161904612939,21.43463381245722,Med,0.7842767295597485,0.145,1.0,137.47496039432366,29.12741873886246,harold fannin|TE,Harold Fannin,TE,CLE,22.1,12506,2857.0,63.0,6.0,-117.0,92.7536231884058,both,90.0,63.0,90.0,58.0,-32.0,13.9,86.48648648648648,86.48648648648648,1.0,0.45,86.48648648648648,2877.8108108108104
59,19.0,Patrick Mahomes,QB,2025.0,345.26588222065044,30.236824093086927,High,0.7911889792899409,0.25,1.0,204.87792070334805,12.30646943566748,patrick mahomes|QB,Patrick Mahomes,QB,KC,30.9,4046,2838.0,64.0,8.0,-183.0,90.0,both,19.0,64.0,19.0,59.0,40.0,17.3,80.0,82.5,9.0,0.75,80.625,2814.6375000000003
60,91.0,Sam LaPorta,TE,2025.0,203.33222015581873,24.8186173853525,Med,0.7842767295597485,0.145,1.0,136.34576298542868,27.99822132996748,sam laporta|TE,Sam LaPorta,TE,DET,25.6,10859,2774.0,67.0,7.0,94.0,91.30434782608695,both,91.0,67.0,91.0,62.0,-29.0,12.6,83.78378378378379,83.78378378378379,3.0,0.75,83.78378378378379,2787.4594594594596
61,18.0,Jordan Love,QB,2025.0,294.14693778705123,27.186858316221766,Med,0.8236205057440866,0.147,1.0,206.6524285627484,14.08097729506784,jordan love|QB,Jordan Love,QB,GB,27.8,6804,2230.0,83.0,14.0,78.0,81.42857142857143,both,18.0,83.0,18.0,76.0,58.0,25.1,82.5,67.5,5.0,0.75,78.75,2749.7124999999996
62,70.0,DK Metcalf,WR,2025.0,211.89323188634037,28.071184120465436,Med,0.8383157894736843,0.172,1.0,147.0804899535843,27.404727365257486,dk metcalf|WR,DK Metcalf,WR,PIT,28.7,5846,2056.0,93.0,38.0,131.0,76.28205128205127,both,70.0,93.0,70.0,84.0,14.0,6.1,76.04166666666666,66.66666666666666,7.0,0.75,73.69791666666666,2746.6979166666615
63,73.0,Jaylen Warren,RB,2025.0,228.58583062321136,27.189596167008897,Med,0.751394357731904,0.159,1.0,144.44856494909075,33.836217541880416,jaylen warren|RB,Jaylen Warren,RB,PIT,27.8,8228,2241.0,82.0,27.0,334.0,75.0,both,73.0,82.0,73.0,75.0,2.0,0.9,65.51724137931035,58.620689655172406,4.0,0.75,63.793103448275865,2726.1551724137935
64,72.0,Michael Wilson,WR,2025.0,208.8278482788413,25.859000684462696,Med,0.8383157894736843,0.172,1.0,144.95272910500518,25.276966516678357,michael wilson|WR,Michael Wilson,WR,ARI,26.5,10232,2185.0,86.0,36.0,272.0,77.56410256410257,both,72.0,86.0,72.0,78.0,6.0,2.6,75.0,68.75,3.0,0.75,73.4375,2709.484375
65,28.0,Jayden Daniels,QB,2025.0,273.034683202808,24.9637234770705,Med,0.8236205057440866,0.147,1.0,191.82005017699277,-0.751401090687807,jayden daniels|QB,Jayden Daniels,QB,WAS,25.7,11566,3722.0,41.0,5.0,-205.0,94.28571428571428,both,28.0,41.0,28.0,38.0,10.0,4.3,70.0,90.0,2.0,0.6,78.0,2702.6200000000003
66,22.0,Justin Herbert,QB,2025.0,288.4757603786401,27.835728952772072,Med,0.8236205057440866,0.147,1.0,202.66815256424456,10.096701296563992,justin herbert|QB,Justin Herbert,QB,LAC,28.5,6797,3148.0,57.0,7.0,1.0,91.42857142857143,both,22.0,57.0,22.0,53.0,31.0,13.4,75.0,85.0,6.0,0.75,77.5,2671.2250000000004
67,93.0,Rome Odunze,WR,2025.0,194.03214445917075,23.789185489390828,Med,0.8383157894736843,0.172,1.0,134.6826541826851,15.00689159435828,rome odunze|WR,Rome Odunze,WR,CHI,24.2,11620,3471.0,49.0,22.0,169.0,86.53846153846155,both,93.0,49.0,93.0,46.0,-47.0,20.3,67.70833333333334,80.20833333333334,2.0,0.6,72.70833333333334,2610.427083333334
68,100.0,Ladd McConkey,WR,2025.0,190.32564126984113,24.161533196440793,Med,0.8383157894736843,0.172,1.0,132.10987590067964,12.434113312352821,ladd mcconkey|WR,Ladd McConkey,WR,LAC,24.8,11635,3808.0,39.0,18.0,-105.0,89.1025641025641,both,100.0,39.0,100.0,36.0,-64.0,27.7,64.58333333333334,84.375,2.0,0.6,72.5,2566.75
69,31.0,Lamar Jackson,QB,2025.0,265.4965011186694,28.985626283367555,Med,0.8236205057440866,0.147,1.0,186.5241132335213,-6.0473380341592815,lamar jackson|QB,Lamar Jackson,QB,BAL,29.6,4881,3847.0,36.0,3.0,-3.0,97.14285714285714,both,31.0,36.0,31.0,34.0,3.0,1.3,65.0,95.0,8.0,0.75,72.5,2503.075
